Pompei_VI.5_CE_1323.6,Morel_13150,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1323.7,Morel_2786,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1323.8,patera,Lamboglia_1,Morel_2311,Morel_2300,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1323.9,coppa,vaso_modanatto,Morel_2575,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_1324.10,Morel_2787h,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1324.11,Morel_2787,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1324.12,Morel_2787,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1324.13,Morel_2153,vaso_apodo,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_1324.2,Morel_2713a1,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1324.8,skyphos,,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1324.9,boccale,Morel_3421a1,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_134,coppetta,Morel_2435d1,Morel_2435,open,forma_aperta,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_135,Morel_2973c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_136,Morel_2575,vaso_modanato,Pompei_VI.5_CE_371,Pompei_VI.5_CE_1717.2,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_137,Sparkes-Talcott_469,kylix_su_passo_piede,kylix,open,stemmed_cup,forma_aperta,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1390,Morel_2152,vaso_apodo,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_1390.1,Morel_4126a1,skyphos,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1390.2,Morel_4126a1,skyphos,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1390.2a,Morel_2152,vaso_apodo,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1424,Morel_3221c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1424.1,Morel_3421a1,boccale,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1424.3,Morel_2787,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1424.4,Morel_4362,skyphos,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1446,Morel_5416d,lekythos,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1446.1,Morel_5422,lekythos,lekythos_aryballikos,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1461,Morel_2812b,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_151,Morel_2551,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1512.4,Sparkes-Talcott_398,kylix_su_alto_piede,kylix,open,stemmed_cup,forma_aperta,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1519,Morel_2973b,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1526,Morel_1315d,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_153,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,,
Pompei_VI.5_CE_154,Morel_2787,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1542,coppa,vaso_modanato,Morel_2572,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_1542.3,Morel_2573,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1542.4,Sparkes-Talcott_398,kylix_su_alto_piede,kylix,open,stemmed_cup,forma_aperta,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1542.5,Morel_1224a1,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1542.6,Morel_2551,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1542.7,coppa,vaso_modanato,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1542.8,patère,patera,Morel_2252e,Morel_2252,Morel_2200,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1603,Morel_2153,vaso_apodo,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_1603.1,Morel_2152,vaso_apodo,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_1642.2,Morel_2973c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1654,Morel_7712c,calamaio,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1655,Morel_7121a1,bottiglia,bottle,closed,forma_chiusa,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1680,Morel_2973c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1694,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1717,Morel_3451,boccale,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1717.2,Morel_2575,vaso_modanato,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_1762.2,patère,patera,Morel_2253,Morel_2200,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1771,patère,patera,Morel_2252e,Morel_2252,Morel_2200,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1771.1,patère,patera,Morel_2284d1,Morel_2200,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1771.6,Lamboglia_27,,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1789,Morel_2263,Morel_2200,patère,patera,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_180,Morel_7512a,pyxis,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1806,Morel_2942,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_182,Morel_2551,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1839,patère,patera,Morel_2256b1,Morel_2256,Morel_2200,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1839.2,Morel_7111,bombylios,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1840,patère,patera,Morel_2253,Morel_2200,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1841,Morel_7514a,pyxis,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1846,Morel_2825c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1848,Morel_7111,bombylios,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1878,Morel_2973c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1914,Morel_2121,vaso_apodo,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_1915,lekythos,,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1916,Morel_7713a,calamaio,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1925,Morel_2825a,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1928,Morel_1312b,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1929,patère,patera,Morel_2234g,Morel_2234,Morel_2200,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_194,coppa,Pompei_VI.5_CE_687.1,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1951,Morel_4246,kylix_su_passo_piede,kylix,open,stemmed_cup,forma_aperta,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_1958,Morel_2554,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
