,"k-cos,f","k-jac,f","k-cos,w","k-jac,w"
Pompei_VI.5_CE_2178,18,1,20,3
Pompei_VI.5_CE_2179,19,3,19,1
Pompei_VI.5_CE_218,19,3,19,1
Pompei_VI.5_CE_2180,19,3,19,1
Pompei_VI.5_CE_2182,19,3,19,1
Pompei_VI.5_CE_2184,19,3,19,1
Pompei_VI.5_CE_2185,18,1,19,1
Pompei_VI.5_CE_2186,18,1,19,1
Pompei_VI.5_CE_2187,18,1,19,1
Pompei_VI.5_CE_2189,18,1,19,1
Pompei_VI.5_CE_219,19,3,19,1
Pompei_VI.5_CE_2191,19,3,19,1
Pompei_VI.5_CE_2192,18,1,19,1
Pompei_VI.5_CE_2193,19,3,19,1
Pompei_VI.5_CE_2194,19,2,19,1
Pompei_VI.5_CE_2196,26,22,20,3
Pompei_VI.5_CE_2198,18,1,19,1
Pompei_VI.5_CE_220,19,3,19,1
Pompei_VI.5_CE_2200,17,14,19,1
Pompei_VI.5_CE_2201,19,3,19,1
Pompei_VI.5_CE_2202,15,14,19,1
Pompei_VI.5_CE_2203,18,1,19,1
Pompei_VI.5_CE_2206,19,3,19,1
Pompei_VI.5_CE_2207,19,3,19,1
Pompei_VI.5_CE_221,19,2,19,1
Pompei_VI.5_CE_222,19,3,19,1
Pompei_VI.5_CE_2220,7,10,6,13
Pompei_VI.5_CE_2225,2,5,7,14
Pompei_VI.5_CE_2226,4,7,6,13
Pompei_VI.5_CE_2227,2,5,7,14
Pompei_VI.5_CE_2228,19,2,6,13
Pompei_VI.5_CE_223,19,3,19,1
Pompei_VI.5_CE_2232,19,2,6,13
Pompei_VI.5_CE_2237,19,2,6,13
Pompei_VI.5_CE_224,19,3,19,1
Pompei_VI.5_CE_2242,2,5,6,13
Pompei_VI.5_CE_2248,4,7,6,13
Pompei_VI.5_CE_225,26,22,19,1
Pompei_VI.5_CE_2250,14,13,9,20
Pompei_VI.5_CE_2251,19,2,6,13
Pompei_VI.5_CE_2254,2,5,7,14
Pompei_VI.5_CE_2255,2,5,7,14
Pompei_VI.5_CE_226,11,12,19,1
Pompei_VI.5_CE_2286,12,15,23,23
Pompei_VI.5_CE_2286.1,12,15,23,23
Pompei_VI.5_CE_2291,3,6,22,22
Pompei_VI.5_CE_2298,3,6,22,22
Pompei_VI.5_CE_2299,3,6,22,22
Pompei_VI.5_CE_2301,19,3,22,22
Pompei_VI.5_CE_231,22,18,7,14
Pompei_VI.5_CE_233,2,5,7,14
Pompei_VI.5_CE_234,2,5,7,14
Pompei_VI.5_CE_241,2,5,7,14
Pompei_VI.5_CE_242,2,5,7,14
Pompei_VI.5_CE_244,7,10,6,13
Pompei_VI.5_CE_2518,14,13,9,20
Pompei_VI.5_CE_257,7,10,6,13
Pompei_VI.5_CE_26,2,5,6,13
Pompei_VI.5_CE_264,14,13,9,20
Pompei_VI.5_CE_271,14,13,9,20
Pompei_VI.5_CE_272,2,5,7,14
Pompei_VI.5_CE_273,22,18,7,14
Pompei_VI.5_CE_277,22,18,7,14
Pompei_VI.5_CE_279,22,18,7,14
Pompei_VI.5_CE_281,7,10,6,13
Pompei_VI.5_CE_284,18,1,19,1
Pompei_VI.5_CE_285,18,1,19,1
Pompei_VI.5_CE_286,2,5,7,14
Pompei_VI.5_CE_287,2,5,7,14
Pompei_VI.5_CE_292,17,14,19,1
Pompei_VI.5_CE_320,3,6,22,22
Pompei_VI.5_CE_321,3,6,22,22
Pompei_VI.5_CE_323,3,6,22,22
Pompei_VI.5_CE_329,10,16,23,23
Pompei_VI.5_CE_33,12,15,23,23
Pompei_VI.5_CE_33.1,10,16,23,23
Pompei_VI.5_CE_333,24,19,19,1
Pompei_VI.5_CE_335,19,2,19,1
Pompei_VI.5_CE_336,19,3,19,1
Pompei_VI.5_CE_337,19,2,19,1
Pompei_VI.5_CE_338,11,12,19,1
Pompei_VI.5_CE_339.5,24,19,20,3
Pompei_VI.5_CE_344,4,7,6,13
Pompei_VI.5_CE_350,4,7,6,13
Pompei_VI.5_CE_354,2,5,7,14
Pompei_VI.5_CE_355,25,21,6,13
Pompei_VI.5_CE_365,2,5,6,13
Pompei_VI.5_CE_367,15,14,19,1
Pompei_VI.5_CE_368,7,10,19,1
Pompei_VI.5_CE_369,19,3,19,1
Pompei_VI.5_CE_37,3,6,22,22
Pompei_VI.5_CE_370,19,3,19,1
Pompei_VI.5_CE_371,18,1,19,1
Pompei_VI.5_CE_373,17,14,19,1
Pompei_VI.5_CE_374,19,3,19,1
Pompei_VI.5_CE_375,19,3,19,1
Pompei_VI.5_CE_376,19,2,19,1
Pompei_VI.5_CE_377,19,3,19,1
Pompei_VI.5_CE_380,19,2,19,1
Pompei_VI.5_CE_381,15,14,19,1
Pompei_VI.5_CE_382,18,1,20,3
Pompei_VI.5_CE_383,19,3,19,1
Pompei_VI.5_CE_384,19,3,19,1
Pompei_VI.5_CE_386,19,2,19,1
Pompei_VI.5_CE_387,19,3,19,1
Pompei_VI.5_CE_398,10,16,23,23
Pompei_VI.5_CE_399,10,16,23,23
Pompei_VI.5_CE_400,25,21,6,13
Pompei_VI.5_CE_401,7,10,6,13
Pompei_VI.5_CE_402,2,5,7,14
Pompei_VI.5_CE_404,22,18,7,14
Pompei_VI.5_CE_405,17,14,9,20
Pompei_VI.5_CE_407,2,5,7,14
Pompei_VI.5_CE_408,25,21,6,13
Pompei_VI.5_CE_409,25,21,6,13
Pompei_VI.5_CE_420,19,2,6,13
Pompei_VI.5_CE_421,19,3,19,1
Pompei_VI.5_CE_423,4,7,6,13
Pompei_VI.5_CE_425,4,7,6,13
Pompei_VI.5_CE_434,18,1,20,3
Pompei_VI.5_CE_446,15,14,19,1
Pompei_VI.5_CE_447,15,14,19,1
Pompei_VI.5_CE_451,18,1,20,3
Pompei_VI.5_CE_452,26,22,20,3
Pompei_VI.5_CE_465,3,6,22,22
Pompei_VI.5_CE_467.2,3,6,22,22
Pompei_VI.5_CE_467.3,3,6,22,22
Pompei_VI.5_CE_467.6,19,3,22,22
Pompei_VI.5_CE_468,19,3,19,1
Pompei_VI.5_CE_48,12,15,23,23
Pompei_VI.5_CE_483.1,19,2,6,13
Pompei_VI.5_CE_487,4,7,6,13
Pompei_VI.5_CE_488,25,21,6,13
Pompei_VI.5_CE_491,6,8,6,13
Pompei_VI.5_CE_492,19,2,6,13
Pompei_VI.5_CE_495,4,7,6,13
Pompei_VI.5_CE_498,2,5,7,14
Pompei_VI.5_CE_499,4,7,6,13
Pompei_VI.5_CE_502,4,7,6,13
Pompei_VI.5_CE_503,4,7,6,13
Pompei_VI.5_CE_504,4,7,6,13
Pompei_VI.5_CE_506,4,7,6,13
Pompei_VI.5_CE_507,19,2,6,13
Pompei_VI.5_CE_515,18,1,19,1
Pompei_VI.5_CE_516,17,14,19,1
Pompei_VI.5_CE_517,19,3,19,1
Pompei_VI.5_CE_518,19,3,19,1
Pompei_VI.5_CE_519,19,3,19,1
Pompei_VI.5_CE_520,19,2,19,1
Pompei_VI.5_CE_521,19,3,19,1
Pompei_VI.5_CE_522,17,14,19,1
Pompei_VI.5_CE_523,19,3,19,1
Pompei_VI.5_CE_524,19,3,19,1
Pompei_VI.5_CE_525,19,2,19,1
Pompei_VI.5_CE_526,19,3,19,1
Pompei_VI.5_CE_527,19,3,19,1
Pompei_VI.5_CE_528,19,2,19,1
Pompei_VI.5_CE_529,19,3,19,1
Pompei_VI.5_CE_53,22,18,7,14
Pompei_VI.5_CE_536,17,14,19,1
Pompei_VI.5_CE_542.1,22,18,7,14
Pompei_VI.5_CE_543,14,13,9,20
Pompei_VI.5_CE_549,22,18,7,14
Pompei_VI.5_CE_550,22,18,7,14
Pompei_VI.5_CE_555.1,2,5,7,14
Pompei_VI.5_CE_556.1,14,13,9,20
Pompei_VI.5_CE_557.1,22,18,7,14
Pompei_VI.5_CE_582,19,2,6,13
Pompei_VI.5_CE_587.2,3,6,22,22
Pompei_VI.5_CE_587.3,3,6,22,22
Pompei_VI.5_CE_590,3,6,22,22
Pompei_VI.5_CE_591,3,6,22,22
Pompei_VI.5_CE_592,19,3,22,22
Pompei_VI.5_CE_593.8,12,15,23,23
Pompei_VI.5_CE_595,10,16,23,23
Pompei_VI.5_CE_598.1,19,2,6,13
Pompei_VI.5_CE_601,4,7,6,13
Pompei_VI.5_CE_603,4,7,6,13
Pompei_VI.5_CE_605,4,7,6,13
Pompei_VI.5_CE_608,17,14,19,1
Pompei_VI.5_CE_614,6,8,6,13
Pompei_VI.5_CE_616,17,14,9,20
Pompei_VI.5_CE_623,2,5,7,14
Pompei_VI.5_CE_634,19,3,19,1
Pompei_VI.5_CE_635,18,1,19,1
Pompei_VI.5_CE_636,18,1,19,1
Pompei_VI.5_CE_637,19,3,19,1
Pompei_VI.5_CE_645,2,5,7,14
Pompei_VI.5_CE_656,3,6,22,22
Pompei_VI.5_CE_661,14,13,9,20
Pompei_VI.5_CE_670,2,5,7,14
Pompei_VI.5_CE_677,11,12,19,1
Pompei_VI.5_CE_686,2,5,7,14
Pompei_VI.5_CE_687.1,19,3,20,3
Pompei_VI.5_CE_694,22,18,7,14
Pompei_VI.5_CE_695,7,10,6,13
Pompei_VI.5_CE_696,2,5,7,14
Pompei_VI.5_CE_697,2,5,7,14
Pompei_VI.5_CE_699,2,5,7,14
Pompei_VI.5_CE_7,19,2,19,1
Pompei_VI.5_CE_707,19,3,19,1
Pompei_VI.5_CE_708,2,5,7,14
Pompei_VI.5_CE_721,19,3,19,1
Pompei_VI.5_CE_722,19,3,19,1
Pompei_VI.5_CE_723,19,3,19,1
Pompei_VI.5_CE_724,18,1,19,1
Pompei_VI.5_CE_725,19,3,19,1
Pompei_VI.5_CE_726,19,3,19,1
Pompei_VI.5_CE_727,19,3,19,1
Pompei_VI.5_CE_728,19,3,19,1
Pompei_VI.5_CE_730,19,3,19,1
Pompei_VI.5_CE_732,19,3,19,1
Pompei_VI.5_CE_735,19,3,19,1
Pompei_VI.5_CE_737,19,3,19,1
Pompei_VI.5_CE_737.1,18,1,19,1
Pompei_VI.5_CE_738,18,1,19,1
Pompei_VI.5_CE_739,18,1,19,1
Pompei_VI.5_CE_756,13,14,6,13
Pompei_VI.5_CE_760,19,2,6,13
Pompei_VI.5_CE_764,17,14,9,20
Pompei_VI.5_CE_78,6,8,6,13
Pompei_VI.5_CE_79,22,18,7,14
Pompei_VI.5_CE_790,3,6,22,22
Pompei_VI.5_CE_793,19,3,19,1
Pompei_VI.5_CE_794,19,3,19,1
Pompei_VI.5_CE_796,17,14,19,1
Pompei_VI.5_CE_797,11,12,19,1
Pompei_VI.5_CE_8,19,3,19,1
Pompei_VI.5_CE_819,12,15,23,23
Pompei_VI.5_CE_82,2,5,7,14
Pompei_VI.5_CE_850,25,21,6,13
Pompei_VI.5_CE_877,19,2,6,13
Pompei_VI.5_CE_88,2,5,7,14
Pompei_VI.5_CE_887,11,12,20,3
Pompei_VI.5_CE_901,2,5,7,14
Pompei_VI.5_CE_904,22,18,7,14
Pompei_VI.5_CE_911,19,3,19,1
Pompei_VI.5_CE_923,19,2,19,1
Pompei_VI.5_CE_924,19,3,19,1
Pompei_VI.5_CE_927.1,19,3,19,1
Pompei_VI.5_CE_928,19,2,19,1
Pompei_VI.5_CE_929,18,1,20,3
Pompei_VI.5_CE_930,3,6,22,22
Pompei_VI.5_CE_939,11,12,19,1
Pompei_VI.5_CE_943,4,7,6,13
Pompei_VI.5_CE_953,3,6,22,22
Pompei_VI.5_CE_96,18,1,19,1
Pompei_VI.5_CE_968,2,5,7,14
Pompei_VI.5_CE_99,7,10,6,13
Pompei_VI.5_Olla_4c,1,4,10,11
San_Silvestro_CC_1,2,5,4,16
San_Silvestro_CC_10,26,22,4,16
San_Silvestro_CC_11,20,17,1,18
San_Silvestro_CC_2,7,10,4,16
San_Silvestro_CC_3,26,22,4,16
San_Silvestro_CC_4,26,22,4,16
San_Silvestro_CC_5,26,22,4,16
San_Silvestro_CC_6,20,17,4,16
San_Silvestro_CC_7,17,14,1,18
San_Silvestro_CC_8,6,8,4,16
San_Silvestro_CC_9,17,14,4,16
San_Silvestro_CF_1-3,17,14,5,17
San_Silvestro_CF_10,5,8,5,17
San_Silvestro_CF_11,6,8,5,17
San_Silvestro_CF_12,6,8,5,17
San_Silvestro_CF_13,6,8,5,17
San_Silvestro_CF_14,6,8,5,17
San_Silvestro_CF_15,17,14,5,17
San_Silvestro_CF_16,17,14,5,17
San_Silvestro_CF_17,17,14,5,17
San_Silvestro_CF_18,6,8,5,17
San_Silvestro_CF_19,6,8,5,17
San_Silvestro_CF_20-21,17,14,5,17
San_Silvestro_CF_22,6,8,5,17
San_Silvestro_CF_23,17,14,5,17
San_Silvestro_CF_24,6,8,5,17
San_Silvestro_CF_4,5,8,5,17
San_Silvestro_CF_5,5,8,5,17
San_Silvestro_CF_6,5,8,5,17
San_Silvestro_CF_7,5,8,5,17
San_Silvestro_CF_8,5,8,5,17
San_Silvestro_CF_9,5,8,5,17
San_Silvestro_CG_1,6,8,17,7
"San_Silvestro_CG_2,3,4",6,8,17,7
San_Silvestro_CG_5,6,8,17,7
San_Silvestro_CG_6,2,5,17,7
San_Silvestro_CI_1-2,6,8,10,11
San_Silvestro_CI_3-4,6,8,10,11
San_Silvestro_CT_1,3,6,3,15
San_Silvestro_CT_10,21,18,3,15
San_Silvestro_CT_11,21,18,3,15
San_Silvestro_CT_12,22,18,3,15
San_Silvestro_CT_13,7,10,2,15
San_Silvestro_CT_14,7,10,2,15
San_Silvestro_CT_15,7,10,2,15
San_Silvestro_CT_16,7,10,2,15
San_Silvestro_CT_17,3,6,2,15
San_Silvestro_CT_18,3,6,2,15
San_Silvestro_CT_19,22,18,2,15
San_Silvestro_CT_2,7,10,3,15
San_Silvestro_CT_20,21,18,3,15
San_Silvestro_CT_21,21,18,3,15
San_Silvestro_CT_22,20,17,3,15
San_Silvestro_CT_23,20,17,2,15
San_Silvestro_CT_24,24,19,2,15
San_Silvestro_CT_25,14,13,3,7
San_Silvestro_CT_26,14,13,3,7
San_Silvestro_CT_27,24,19,2,15
San_Silvestro_CT_28,26,22,3,15
San_Silvestro_CT_29,7,10,2,15
San_Silvestro_CT_3,7,10,3,15
San_Silvestro_CT_30,7,10,2,15
San_Silvestro_CT_31,7,10,2,15
San_Silvestro_CT_32,7,10,2,15
San_Silvestro_CT_33,7,10,3,15
San_Silvestro_CT_34,7,10,2,15
San_Silvestro_CT_35,7,10,2,15
San_Silvestro_CT_36,7,10,3,15
San_Silvestro_CT_37,7,10,2,15
San_Silvestro_CT_38,7,10,3,15
San_Silvestro_CT_39,7,10,3,15
San_Silvestro_CT_4,3,6,3,15
San_Silvestro_CT_40,2,5,2,15
San_Silvestro_CT_41,6,8,3,15
San_Silvestro_CT_42,3,6,2,15
San_Silvestro_CT_43,25,21,3,15
San_Silvestro_CT_44,25,21,2,15
San_Silvestro_CT_45,26,22,3,15
San_Silvestro_CT_46,25,21,3,15
San_Silvestro_CT_47,17,14,3,15
San_Silvestro_CT_48,21,18,3,15
San_Silvestro_CT_49,21,18,3,15
San_Silvestro_CT_5,6,8,3,15
San_Silvestro_CT_50,20,17,3,15
San_Silvestro_CT_51,20,17,3,15
San_Silvestro_CT_52,20,17,2,15
San_Silvestro_CT_6,3,6,2,15
San_Silvestro_CT_7,2,5,2,15
San_Silvestro_CT_8,17,14,3,15
San_Silvestro_CT_9,2,5,2,15
San_Silvestro_GI_1,17,14,3,7
San_Silvestro_GI_2,17,14,8,19
San_Silvestro_GI_3,17,14,8,19
San_Silvestro_GI_4,17,14,8,19
San_Silvestro_GL_1,7,10,8,19
San_Silvestro_GL_10,7,10,8,19
San_Silvestro_GL_11,7,10,8,19
San_Silvestro_GL_12,7,10,8,19
San_Silvestro_GL_13,7,10,8,19
San_Silvestro_GL_14,7,10,8,19
San_Silvestro_GL_15,2,5,8,19
San_Silvestro_GL_16,2,5,8,19
San_Silvestro_GL_17,2,4,8,19
San_Silvestro_GL_18,1,4,8,19
San_Silvestro_GL_19,1,4,8,19
San_Silvestro_GL_2,7,10,8,19
San_Silvestro_GL_20,17,14,8,19
San_Silvestro_GL_21,17,14,8,19
San_Silvestro_GL_22,17,14,8,19
San_Silvestro_GL_23,24,19,8,19
San_Silvestro_GL_24,21,22,3,7
San_Silvestro_GL_25,22,18,8,19
San_Silvestro_GL_26,22,18,8,19
San_Silvestro_GL_27,21,18,8,19
San_Silvestro_GL_28,17,14,8,19
San_Silvestro_GL_29,13,14,8,19
San_Silvestro_GL_3,2,5,8,19
San_Silvestro_GL_30,17,14,8,19
San_Silvestro_GL_31,7,10,8,19
San_Silvestro_GL_32,7,10,8,19
San_Silvestro_GL_33,7,10,8,19
San_Silvestro_GL_34,7,10,8,19
San_Silvestro_GL_35,7,10,8,19
San_Silvestro_GL_36,2,5,8,19
San_Silvestro_GL_37,2,5,8,19
San_Silvestro_GL_38,2,5,8,19
San_Silvestro_GL_39,2,5,8,19
San_Silvestro_GL_4,7,10,8,19
San_Silvestro_GL_40,22,18,8,19
San_Silvestro_GL_41,22,18,8,19
San_Silvestro_GL_42,22,18,8,19
San_Silvestro_GL_43,22,18,8,19
San_Silvestro_GL_47,1,4,8,19
San_Silvestro_GL_5,2,5,8,19
San_Silvestro_GL_6,2,5,8,19
San_Silvestro_GL_7,1,4,8,19
San_Silvestro_GL_8,7,10,8,19
San_Silvestro_GL_9,7,10,8,19
San_Silvestro_PS_1,13,14,22,22
San_Silvestro_PS_10,17,14,22,22
San_Silvestro_PS_11,17,14,22,22
San_Silvestro_PS_12,17,14,22,22
San_Silvestro_PS_13,24,19,22,22
San_Silvestro_PS_14,13,14,22,22
San_Silvestro_PS_15,24,19,22,22
San_Silvestro_PS_16,24,19,22,22
San_Silvestro_PS_17,24,19,22,22
San_Silvestro_PS_18,24,19,22,22
San_Silvestro_PS_19,24,19,22,22
San_Silvestro_PS_2,13,14,22,22
San_Silvestro_PS_20,24,19,22,22
San_Silvestro_PS_21,24,19,22,22
San_Silvestro_PS_22,24,19,22,22
San_Silvestro_PS_23,24,19,22,22
San_Silvestro_PS_24,24,19,22,22
San_Silvestro_PS_25,24,19,22,22
San_Silvestro_PS_26,24,19,22,22
San_Silvestro_PS_27,24,19,22,22
San_Silvestro_PS_28,24,19,22,22
San_Silvestro_PS_29,24,19,22,22
San_Silvestro_PS_3,13,14,22,22
San_Silvestro_PS_30,24,19,22,22
San_Silvestro_PS_31,24,19,22,22
San_Silvestro_PS_4,24,19,22,22
San_Silvestro_PS_5,17,14,22,22
San_Silvestro_PS_6,24,19,22,22
San_Silvestro_PS_7,24,19,22,22
San_Silvestro_PS_8,13,14,22,22
San_Silvestro_PS_9,24,19,22,22
San_Silvestro_SI_1,11,14,23,23
San_Silvestro_SI_10,11,14,23,23
San_Silvestro_SI_11,11,14,23,23
San_Silvestro_SI_12,18,1,23,23
San_Silvestro_SI_13,17,14,23,23
San_Silvestro_SI_14,10,16,23,23
San_Silvestro_SI_15,24,19,23,23
San_Silvestro_SI_2,11,14,23,23
San_Silvestro_SI_21,8,9,23,23
San_Silvestro_SI_22,19,3,23,23
San_Silvestro_SI_23,8,9,23,23
San_Silvestro_SI_24,19,3,23,23
San_Silvestro_SI_27,24,19,23,23
San_Silvestro_SI_28,18,1,23,23
San_Silvestro_SI_29,19,3,23,23
San_Silvestro_SI_3,18,1,23,23
San_Silvestro_SI_32,24,19,23,23
San_Silvestro_SI_33,13,14,23,23
San_Silvestro_SI_35,10,16,23,23
San_Silvestro_SI_4,20,17,23,23
San_Silvestro_SI_5,12,15,23,23
San_Silvestro_SI_6,12,15,23,23
San_Silvestro_SI_7,12,14,23,23
San_Silvestro_SI_8,18,1,23,23
San_Silvestro_SI_9,18,1,23,23
San_Silvestro_VN_1,17,14,19,1
San_Silvestro_VN_10,17,14,20,3
San_Silvestro_VN_11,17,14,19,1
San_Silvestro_VN_12,17,14,19,1
San_Silvestro_VN_13,17,14,20,3
San_Silvestro_VN_14,17,14,20,3
San_Silvestro_VN_15,17,14,19,1
San_Silvestro_VN_16,17,14,19,1
San_Silvestro_VN_17,17,14,20,3
San_Silvestro_VN_18,17,14,20,3
San_Silvestro_VN_19,17,14,20,3
San_Silvestro_VN_2,17,14,19,1
San_Silvestro_VN_20,17,14,19,1
San_Silvestro_VN_21,17,14,20,3
San_Silvestro_VN_22,17,14,20,3
San_Silvestro_VN_23,17,14,20,3
San_Silvestro_VN_24,17,14,20,3
San_Silvestro_VN_25,17,14,20,3
San_Silvestro_VN_26,17,14,20,3
San_Silvestro_VN_27,17,14,20,3
San_Silvestro_VN_28,17,14,19,1
San_Silvestro_VN_29,17,14,20,3
San_Silvestro_VN_3,6,8,20,3
San_Silvestro_VN_30,17,14,20,3
San_Silvestro_VN_31,17,14,20,3
San_Silvestro_VN_32,17,14,20,3
San_Silvestro_VN_33,17,14,20,3
San_Silvestro_VN_34,17,14,20,3
San_Silvestro_VN_35,17,14,20,3
San_Silvestro_VN_36,17,14,20,3
San_Silvestro_VN_37,17,14,19,1
San_Silvestro_VN_38,15,14,20,3
San_Silvestro_VN_38A,17,14,19,1
San_Silvestro_VN_39,17,14,20,3
San_Silvestro_VN_4,17,14,20,3
San_Silvestro_VN_40,17,14,20,3
San_Silvestro_VN_5,17,14,20,3
San_Silvestro_VN_6,17,14,20,3
San_Silvestro_VN_7,17,14,20,3
San_Silvestro_VN_8,17,14,20,3
San_Silvestro_VN_9,17,14,20,3
Settefinestre_24.1,22,18,13,5
Settefinestre_24.10,25,21,13,5
Settefinestre_24.11,25,21,13,5
Settefinestre_24.12,25,21,13,5
Settefinestre_24.13,25,21,13,5
Settefinestre_24.14,25,21,13,5
Settefinestre_24.16,25,21,13,5
Settefinestre_24.2,22,18,13,5
Settefinestre_24.3,22,18,13,5
Settefinestre_24.4,21,18,13,5
Settefinestre_24.5,25,21,13,5
Settefinestre_24.6,25,21,13,5
Settefinestre_24.7,25,21,13,5
Settefinestre_24.8,25,21,13,5
Settefinestre_24.9,25,21,13,5
Settefinestre_25.3,25,21,13,5
Settefinestre_25.7,25,21,13,5
Settefinestre_25.9,25,21,13,5
Settefinestre_26.10,25,21,13,5
Settefinestre_26.11,25,21,13,5
Settefinestre_26.13,25,21,13,5
Settefinestre_26.5,25,21,13,5
Settefinestre_26.6,25,21,13,5
Settefinestre_26.7,25,21,13,5
Settefinestre_27.10,25,21,13,5
Settefinestre_27.11,25,21,13,5
Settefinestre_27.12,25,21,13,5
Settefinestre_27.14,25,21,13,5
Settefinestre_27.15,25,21,13,5
Settefinestre_27.16,25,21,13,5
Settefinestre_27.9,25,21,13,5
Settefinestre_28.1,1,4,13,5
Settefinestre_28.14,1,4,13,5
Settefinestre_28.15,1,4,13,5
Settefinestre_28.18,1,4,13,5
Settefinestre_28.2,1,4,13,5
Settefinestre_28.21,1,4,13,5
Settefinestre_28.4,1,4,13,5
Settefinestre_29.10,1,4,13,5
Settefinestre_29.12,1,4,13,5
Settefinestre_29.13,1,4,13,5
Settefinestre_29.17,1,4,13,5
Settefinestre_29.18,1,4,13,5
Settefinestre_29.2,1,4,13,5
Settefinestre_29.23,1,4,13,5
Settefinestre_29.4,1,4,13,5
Settefinestre_29.8,1,4,13,5
Settefinestre_30.1,1,4,13,5
Settefinestre_30.10,1,4,13,5
Settefinestre_30.11,1,4,13,5
Settefinestre_30.2,1,4,13,5
Settefinestre_30.3,1,4,13,5
Settefinestre_30.4,1,4,13,5
Settefinestre_30.5,1,4,13,5
Settefinestre_30.6,1,4,13,5
Settefinestre_30.7,1,4,13,5
Settefinestre_30.8,1,4,13,5
Settefinestre_30.9,1,4,13,5
Settefinestre_31.1,21,18,11,10
Settefinestre_31.2,22,18,11,10
Settefinestre_31.3,21,18,11,10
Settefinestre_31.4,21,22,11,10
Settefinestre_33.1,20,17,15,9
Settefinestre_33.17,4,8,15,9
Settefinestre_33.18,4,8,15,9
Settefinestre_33.19,4,8,15,9
Settefinestre_33.21,4,8,15,9
Settefinestre_33.22,6,8,15,9
Settefinestre_33.23,6,8,15,9
Settefinestre_33.3,20,17,15,9
Settefinestre_34.1,6,8,15,9
Settefinestre_34.13,6,8,15,9
Settefinestre_34.5,6,8,15,9
Settefinestre_34.8,6,8,15,9
Settefinestre_35.1,20,17,19,1
Settefinestre_35.10,19,3,19,1
Settefinestre_35.11,19,3,19,1
Settefinestre_35.2,20,17,19,1
Settefinestre_35.3,20,17,19,1
Settefinestre_35.4,20,17,19,1
Settefinestre_35.7,19,3,19,1
Settefinestre_35.8,19,3,19,1
Settefinestre_35.9,19,3,19,1
Settefinestre_36.1,19,3,19,1
Settefinestre_36.2,19,3,19,1
Settefinestre_36.3,19,3,19,1
Settefinestre_36.4,19,3,19,1
Settefinestre_36.6,6,8,19,1
Settefinestre_37.1,20,17,23,23
Settefinestre_37.2,17,14,23,23
Settefinestre_37.5,19,3,23,23
Settefinestre_37.7,18,1,23,23
Settefinestre_43.1,20,17,23,23
Settefinestre_45.1,19,3,22,22
Settefinestre_45.2,13,14,22,22
Settefinestre_45.5,13,14,22,22
Settefinestre_45.6,18,1,22,22
Sib_1970_p29_cat14,17,14,27,26
Sib_1970_p29_cat15,17,14,27,26
Sib_1970_p29_cat16,17,14,27,26
Sib_1970_p29_cat17,26,22,27,26
Sib_1970_p29_cat18,26,22,27,26
Sib_1970_p29_cat19,17,14,27,26
Sib_1970_p30_cat20,15,14,27,26
Sib_1970_p30_cat21,15,14,27,26
Sib_1970_p30_cat22,20,17,27,26
Sib_1970_p30_cat23,6,8,27,26
Sib_1970_p30_cat24,7,10,27,26
Sib_1970_p30_cat25,20,17,27,26
Sib_1970_p30_cat26,15,14,27,26
Sib_1970_p30_cat27,20,17,27,26
Sib_1970_p31_cat28,15,14,27,26
Sib_1970_p31_cat29,17,14,27,26
Sib_1970_p31_cat30,17,14,27,26
Sib_1970_p31_cat31,20,17,27,26
Sib_1970_p31_cat32,20,17,27,26
Sib_1970_p32_cat33,17,14,27,26
Sib_1970_p32_cat34,17,14,27,26
Sib_1970_p33_cat35,17,14,27,26
Sib_1970_p33_cat36,20,17,27,26
Sib_1970_p33_cat37,23,20,27,26
Sib_1970_p33_cat38,23,20,27,26
Sib_1970_p33_cat39,23,20,27,26
Sib_1970_p33_cat40,17,14,27,26
Sib_1970_p33_cat41,17,14,27,26
Sib_1970_p33_cat42,17,14,27,26
Sib_1970_p33_cat43,23,20,5,17
Sib_1970_p33_cat44,15,14,27,26
Sib_1970_p33_cat45,20,17,5,17
Sib_1970_p35_cat46,17,14,27,26
Sib_1970_p35_cat47,24,22,27,26
Sib_1970_p35_cat48,15,14,27,26
Sib_1970_p35_cat49,17,14,27,26
Sib_1970_p35_cat50,17,14,27,26
Sib_1970_p35_cat51,17,14,5,17
Sib_1970_p35_cat52,17,14,5,17
Sib_1970_p35_cat53,17,14,5,17
Sib_1970_p35_cat54,17,14,26,25
Sib_1970_p35_cat55,17,14,26,25
Sib_1970_p35_cat56,8,9,26,25
Sib_1970_p35_cat57,26,22,26,25
Sib_1970_p37_cat58,26,22,26,25
Sib_1970_p37_cat59,8,9,26,25
Sib_1970_p37_cat60,26,22,26,25
Sib_1970_p37_cat61,20,17,26,25
Sib_1970_p37_cat62,12,15,26,25
Sib_1970_p37_cat63,8,9,26,25
Sib_1970_p37_cat64,12,14,26,25
Sib_1970_p37_cat65,17,14,26,25
Sib_1970_p39_cat66,8,9,26,25
Sib_1970_p39_cat67,8,9,26,25
Sib_1970_p39_cat69,8,9,26,25
Sib_1970_p39_cat70,8,9,26,25
Sib_1970_p39_cat71,23,20,26,25
Sib_1970_p39_cat72,8,9,26,25
Sib_1970_p39_cat73,18,1,26,25
Sib_1970_p39_cat74,26,22,26,25
Sib_1970_p40_cat75,8,9,26,25
